Fuel_Type,Kilometers_Driven,Transmission_Type,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,Car_Price,Registration_Year,No_of_Seats,Engine_CC,Mileage(kmpl),Location
Diesel,70000,Automatic,2,BMW,BMW X5,2016,39.81,2016,5,2993,15.97,Bangalore
Petrol,52571,Manual,1,Hyundai,Hyundai i20,2016,6.27,2016,5,1197,18.6,Bangalore
Diesel,70000,Automatic,2,BMW,BMW 3 Series,2010,13.0,2010,5,1995,16.07,Bangalore
Petrol,61993,Manual,1,Honda,Honda City,2015,6.72,2015,5,1497,17.4,Bangalore
Diesel,57000,Automatic,1,Hyundai,Hyundai Tucson,2017,18.25,2017,5,1995,16.38,Bangalore
Diesel,80000,Manual,2,Toyota,Toyota Fortuner,2021,35.0,2021,7,2755,14.24,Bangalore
Petrol,36359,Manual,1,Hyundai,Hyundai i20,2013,4.4,2013,5,1197,18.5,Bangalore
Diesel,70000,Manual,2,Tata,Tata Harrier,2019,14.6,2019,5,1956,17.0,Bangalore
Petrol,7500,Automatic,1,MG,MG Hector,2022,20.41,2022,5,1451,14.0,Bangalore
Petrol,30301,Automatic,1,Hyundai,Hyundai Verna,2017,10.33,2017,5,1591,17.0,Bangalore
Petrol,66000,Manual,1,Hyundai,Hyundai i10,2010,2.75,2010,5,1197,20.36,Bangalore
Petrol,56010,Manual,1,Hyundai,Hyundai i20,2017,6.76,2017,5,1197,18.6,Bangalore
Diesel,47000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLC,2017,42.9,2017,5,2143,17.9,Bangalore
Diesel,60000,Manual,2,Nissan,Nissan Terrano,2014,6.5,2014,5,1461,19.01,Bangalore
Diesel,83829,Manual,1,Maruti,Maruti Swift,2014,4.44,2014,5,1248,25.2,Bangalore
Petrol,10000,Automatic,1,Renault,Renault KWID,2020,5.1,2020,5,999,22.0,Bangalore
Diesel,35000,Automatic,2,Renault,Renault Duster,2016,9.25,2016,5,1461,19.6,Bangalore
